Date,Holiday Name,Information,More Information,Applicable To
20191007,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.industrialrelations.nsw.gov.au/oirwww/NSW_public_holidays/NSW_Public_Holidays.page?,nsw
20191225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,http://www.industrialrelations.nsw.gov.au/oirwww/NSW_public_holidays/NSW_Public_Holidays.page?,nsw
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,http://www.industrialrelations.nsw.gov.au/oirwww/NSW_public_holidays/NSW_Public_Holidays.page?,nsw
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://nt.gov.au/employ/for-employees-in-nt/nt-public-holidays,nt
20190128,Australia Day,Always celebrated on 26 January,https://nt.gov.au/employ/for-employees-in-nt/nt-public-holidays,nt
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://nt.gov.au/employ/for-employees-in-nt/nt-public-holidays,nt
20190420,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://nt.gov.au/employ/for-employees-in-nt/nt-public-holidays,nt
20190422,Easter Monday,Public Holiday as part of Easter.,https://nt.gov.au/employ/for-employees-in-nt/nt-public-holidays,nt
20190425,Anzac Day,Celebrated on the 25 April each year.,https://nt.gov.au/employ/for-employees-in-nt/nt-public-holidays,nt
20190506,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://nt.gov.au/employ/for-employees-in-nt/nt-public-holidays,nt
20190610,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://nt.gov.au/employ/for-employees-in-nt/nt-public-holidays,nt
20190805,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",https://nt.gov.au/employ/for-employees-in-nt/nt-public-holidays,nt
20191224,Christmas Eve,Part-day public holiday from 7pm-12 midnight,https://nt.gov.au/employ/for-employees-in-nt/nt-public-holidays,nt
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://nt.gov.au/employ/for-employees-in-nt/nt-public-holidays,nt
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://nt.gov.au/employ/for-employees-in-nt/nt-public-holidays,nt
20191231,New Year's Eve,Part-day public holiday from 7pm-12 midnight,https://nt.gov.au/employ/for-employees-in-nt/nt-public-holidays,nt
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,http://www.justice.qld.gov.au/fair-and-safe-work/industrial-relations/public-holidays/dates,qld
20190128,Australia Day,Always celebrated on 26 January,http://www.justice.qld.gov.au/fair-and-safe-work/industrial-relations/public-holidays/dates,qld
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,http://www.justice.qld.gov.au/fair-and-safe-work/industrial-relations/public-holidays/dates,qld
20190420,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,http://www.justice.qld.gov.au/fair-and-safe-work/industrial-relations/public-holidays/dates,qld
20190421,Easter Sunday,Public Holiday as part of Easter.,http://www.justice.qld.gov.au/fair-and-safe-work/industrial-relations/public-holidays/dates,qld
20190422,Easter Monday,Public Holiday as part of Easter.,http://www.justice.qld.gov.au/fair-and-safe-work/industrial-relations/public-holidays/dates,qld
20190425,Anzac Day,Celebrated on the 25 April each year.,http://www.justice.qld.gov.au/fair-and-safe-work/industrial-relations/public-holidays/dates,qld
20190506,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.justice.qld.gov.au/fair-and-safe-work/industrial-relations/public-holidays/dates,qld
20191007,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,http://www.justice.qld.gov.au/fair-and-safe-work/industrial-relations/public-holidays/dates,qld
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,http://www.justice.qld.gov.au/fair-and-safe-work/industrial-relations/public-holidays/dates,qld
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,http://www.justice.qld.gov.au/fair-and-safe-work/industrial-relations/public-holidays/dates,qld
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,http://www.safework.sa.gov.au/show_page.jsp?id=2483,sa
20190128,Australia Day,Always celebrated on 26 January,http://www.safework.sa.gov.au/show_page.jsp?id=2484,sa
20190311,March public holiday,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,http://www.safework.sa.gov.au/show_page.jsp?id=2485,sa
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,http://www.safework.sa.gov.au/show_page.jsp?id=2486,sa
20190420,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,http://www.safework.sa.gov.au/show_page.jsp?id=2487,sa
20190422,Easter Monday,Public Holiday as part of Easter.,http://www.safework.sa.gov.au/show_page.jsp?id=2488,sa
20190425,Anzac Day,Celebrated on the 25 April each year.,http://www.safework.sa.gov.au/show_page.jsp?id=2489,sa
20190610,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,http://www.safework.sa.gov.au/show_page.jsp?id=2490,sa
20191007,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.safework.sa.gov.au/show_page.jsp?id=2491,sa
20191224,Christmas Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2492,sa
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,http://www.safework.sa.gov.au/show_page.jsp?id=2493,sa
20191226,Proclamation Day ,Occurs the day after Christmas Day.,http://www.safework.sa.gov.au/show_page.jsp?id=2494,sa
20191231,New Year's Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2495,sa
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,http://worksafe.tas.gov.au/laws/public_holidays,tas
20190128,Australia Day,Always celebrated on 26 January,http://worksafe.tas.gov.au/laws/public_holidays,tas
20190211,Royal Hobart Regatta,A three-day event that runs over the weekend of the second Monday each February.,http://worksafe.tas.gov.au/laws/public_holidays,tas
20190311,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://worksafe.tas.gov.au/laws/public_holidays,tas
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,http://worksafe.tas.gov.au/laws/public_holidays,tas
20190422,Easter Monday,Public Holiday as part of Easter.,http://worksafe.tas.gov.au/laws/public_holidays,tas
20190423,Easter Tuesday,Public Holiday currently observed by certain awards/agreements and the State Public Service,http://worksafe.tas.gov.au/laws/public_holidays,tas
20190425,Anzac Day,Celebrated on the 25 April each year.,http://worksafe.tas.gov.au/laws/public_holidays,tas
20190610,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,http://worksafe.tas.gov.au/laws/public_holidays,tas
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,http://worksafe.tas.gov.au/laws/public_holidays,tas
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,http://worksafe.tas.gov.au/laws/public_holidays,tas
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,vic
20190128,Australia Day,Always celebrated on 26 January,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,vic
20190311,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,vic
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,vic
20190420,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,vic
20190421,Easter Sunday,Public Holiday as part of Easter.,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,vic
20190422,Easter Monday,Public Holiday as part of Easter.,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,vic
20190425,Anzac Day,Celebrated on the 25 April each year.,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,vic
20190610,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,vic
20190927,Friday before AFL Grand Final,Friday before the AFL Grand Final,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,vic
20191105,Melbourne Cup,All of Victoria unless alternate local holiday has been arranged by non-metro council.,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,vic
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,vic
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,vic
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20190128,Australia Day,Always celebrated on 26 January,http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20190304,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20190422,Easter Monday,Public Holiday as part of Easter.,http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20190425,Anzac Day,Celebrated on the 25 April each year.,http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20190603,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20190930,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.cmtedd.act.gov.au/communication/holidays,act
20210126,Australia Day,Always celebrated on 26 January,https://www.cmtedd.act.gov.au/communication/holidays,act
20210308,Canberra Day,Held on the second Monday of March each year in Canberra to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.,https://www.cmtedd.act.gov.au/communication/holidays,act
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.cmtedd.act.gov.au/communication/holidays,act
20210403,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.cmtedd.act.gov.au/communication/holidays,act
20210404,Easter Sunday,Public Holiday as part of Easter.,https://www.cmtedd.act.gov.au/communication/holidays,act
20210405,Easter Monday,Public Holiday as part of Easter.,https://www.cmtedd.act.gov.au/communication/holidays,act
20210426,Anzac Day,Celebrated on the 25 April each year.,https://www.cmtedd.act.gov.au/communication/holidays,act
20210531,Reconciliation Day,Takes place on the first Monday on or after 27 May each year the anniversary of the 1967 referendum,https://www.cmtedd.act.gov.au/communication/holidays,act
20210614,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.cmtedd.act.gov.au/communication/holidays,act
20211004,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.cmtedd.act.gov.au/communication/holidays,act
20211225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.cmtedd.act.gov.au/communication/holidays,act
20211226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.cmtedd.act.gov.au/communication/holidays,act
20211227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",https://www.cmtedd.act.gov.au/communication/holidays,act
20211228,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",https://www.cmtedd.act.gov.au/communication/holidays,act
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
20210126,Australia Day,Always celebrated on 26 January,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
20210403,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
20210404,Easter Sunday,Public Holiday as part of Easter.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
20210405,Easter Monday,Public Holiday as part of Easter.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
20210425,Anzac Day,Celebrated on the 25 April each year.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
20210614,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
20210802,Bank Holiday,"Applies to banks and certain financial institutions, per the Retail Trading Act 2008",https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
20211004,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
20211225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
20211226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
20211227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
20211228,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://nt.gov.au/nt-public-holidays,nt
20210126,Australia Day,Always celebrated on 26 January,https://nt.gov.au/nt-public-holidays,nt
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://nt.gov.au/nt-public-holidays,nt
20210403,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://nt.gov.au/nt-public-holidays,nt
20210405,Easter Monday,Public Holiday as part of Easter.,https://nt.gov.au/nt-public-holidays,nt
20210426,Anzac Day,Celebrated on the 25 April each year.,https://nt.gov.au/nt-public-holidays,nt
20210503,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://nt.gov.au/nt-public-holidays,nt
20210614,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://nt.gov.au/nt-public-holidays,nt
20210802,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",https://nt.gov.au/nt-public-holidays,nt
20211224,Christmas Eve 7pm - Midnight,Part-day public holiday from 7pm-12 midnight,https://nt.gov.au/nt-public-holidays,nt
20211225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://nt.gov.au/nt-public-holidays,nt
20211226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://nt.gov.au/nt-public-holidays,nt
20211227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",https://nt.gov.au/nt-public-holidays,nt
20211228,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",https://nt.gov.au/nt-public-holidays,nt
20211231,New Year's Eve 7pm - Midnight,Part-day public holiday from 7pm-12 midnight,https://nt.gov.au/nt-public-holidays,nt
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20210126,Australia Day,Always celebrated on 26 January,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20210403,The Day after Good Friday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20210404,Easter Sunday,Public Holiday as part of Easter.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20210405,Easter Monday,Public Holiday as part of Easter.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20210426,Anzac Day,Celebrated on the 25 April each year.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20210503,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://www.qld.gov.au/recreation/travel/holidays/public,qld
20211004,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20211224,Christmas Eve 6pm - Midnight,Part day public holiday from 6pm to midnight,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20211225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20211226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20211227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",https://www.qld.gov.au/recreation/travel/holidays/public,qld
20211228,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",https://www.qld.gov.au/recreation/travel/holidays/public,qld
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.safework.sa.gov.au/resources/public-holidays,sa
20210126,Australia Day,Always celebrated on 26 January,https://www.safework.sa.gov.au/resources/public-holidays,sa
20210308,Adelaide Cup Day,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,https://www.safework.sa.gov.au/resources/public-holidays,sa
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.safework.sa.gov.au/resources/public-holidays,sa
20210403,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.safework.sa.gov.au/resources/public-holidays,sa
20210405,Easter Monday,Public Holiday as part of Easter.,https://www.safework.sa.gov.au/resources/public-holidays,sa
20210425,Anzac Day,Celebrated on the 25 April each year.,https://www.safework.sa.gov.au/resources/public-holidays,sa
20210426,Anzac Day (additional day),Celebrated on the 25 April each year.,https://www.safework.sa.gov.au/resources/public-holidays,sa
20210614,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.safework.sa.gov.au/resources/public-holidays,sa
20211004,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://www.safework.sa.gov.au/resources/public-holidays,sa
20211224,Christmas Eve  7pm - Midnight,Part-day public holiday from 7pm-12 midnight,https://www.safework.sa.gov.au/resources/public-holidays,sa
20211225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.safework.sa.gov.au/resources/public-holidays,sa
20211226,Boxing Day / Proclamation Day,Proclamation/Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.safework.sa.gov.au/resources/public-holidays,sa
20211227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",https://www.safework.sa.gov.au/resources/public-holidays,sa
20211228,Boxing Day / Proclamation Day (additional day),"As 26 December (Proclamation/Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",https://www.safework.sa.gov.au/resources/public-holidays,sa
20211231,New Year's Eve 7pm - Midnight,Part-day public holiday from 7pm-12 midnight,https://www.safework.sa.gov.au/resources/public-holidays,sa
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
20210126,Australia Day,Always celebrated on 26 January,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
20210308,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
20210405,Easter Monday,Public Holiday as part of Easter.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
20210406,Easter Tuesday,Public Holiday currently observed by certain awards/agreements and the State Public Service,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
20210425,Anzac Day,Celebrated on the 25 April each year.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
20210614,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
20211225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
20211226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
20211227,Christmas (additional day),Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
20211228,Boxing Day (additional day),Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,vic
20210126,Australia Day,Always celebrated on 26 January,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,vic
20210308,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,vic
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,vic
20210403,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,vic
20210404,Easter Sunday,Public Holiday as part of Easter.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,vic
20210405,Easter Monday,Public Holiday as part of Easter.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,vic
20210425,Anzac Day,Celebrated on the 25 April each year.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,vic
20210614,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,vic
20210924,Friday before AFL Grand Final,Friday before the AFL Grand Final,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,vic
20211102,Melbourne Cup,All of Victoria unless alternate local holiday has been arranged by non-metro council.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,vic
20211225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,vic
20211226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,vic
20211227,Christmas (additional day),Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,vic
20211228,Boxing Day (additional day),Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,vic
20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20210126,Australia Day,Always celebrated on 26 January,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20210301,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20210405,Easter Monday,Public Holiday as part of Easter.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20210425,Anzac Day,Celebrated on the 25 April each year.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20210426,Anzac Day (additional day),Celebrated on the 25 April each year.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20210607,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
20210927,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
